Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.4,0.8,0.9,7.230443413574442e-05
1.4,0.8,1.0,6.726974346998605e-05
1.4,0.8,1.1,6.122291915708277e-05
1.4,0.8,1.2,5.693860458736491e-05
1.4,0.9,0.8,6.108198027224426e-05
1.4,0.9,0.9,5.761939228466951e-05
1.4,0.9,1.0,5.4197519552647205e-05
1.4,0.9,1.1,5.227039915992284e-05
1.4,0.9,1.2,4.91938138802835e-05
1.4,1.0,0.8,5.3613106124564855e-05
1.4,1.0,0.9,5.116888471584503e-05
1.4,1.0,1.0,4.673657541724987e-05
1.4,1.0,1.1,4.2550278648730376e-05
1.4,1.0,1.2,3.936813924209283e-05
1.4,1.1,0.8,4.237345983429017e-05
1.4,1.1,0.9,4.292741565672838e-05
1.4,1.1,1.0,3.9485002227426846e-05
1.4,1.1,1.1,3.874551250131168e-05
1.4,1.1,1.2,3.429304901573466e-05
1.4,1.2,0.8,3.7671801512019264e-05
1.4,1.2,0.9,3.680710424497604e-05
1.4,1.2,1.0,3.3918513943184224e-05
1.4,1.2,1.1,3.2291623378729035e-05
1.4,1.2,1.2,3.194144077065452e-05
1.425,0.8,0.8,7.620617000988446e-05
1.425,0.8,0.9,6.801630779042461e-05
1.425,0.8,1.0,6.368855888943703e-05
1.425,0.8,1.1,5.8814563999035845e-05
1.425,0.8,1.2,5.4025205267345756e-05
1.425,0.9,0.8,5.8849447661967295e-05
1.425,0.9,0.9,5.9762380860250735e-05
1.425,0.9,1.0,5.4079695130103044e-05
1.425,0.9,1.1,5.119573524169849e-05
1.425,0.9,1.2,4.5282268173672794e-05
1.425,1.0,0.8,4.9192060964620335e-05
1.425,1.0,0.9,4.967033896398537e-05
1.425,1.0,1.0,4.590821596932521e-05
1.425,1.0,1.1,4.221624522276751e-05
1.425,1.0,1.2,3.841919113363719e-05
1.425,1.1,0.8,4.4553157678661305e-05
1.425,1.1,0.9,4.329669985962281e-05
1.425,1.1,1.0,3.834806561145887e-05
1.425,1.1,1.1,3.6757462214846185e-05
1.425,1.1,1.2,3.2922305025037144e-05
1.425,1.2,0.8,3.703511583807913e-05
1.425,1.2,0.9,3.567836825911514e-05
1.425,1.2,1.0,3.354665405430728e-05
1.425,1.2,1.1,3.262302306618481e-05
1.425,1.2,1.2,2.9540202922515317e-05
1.45,0.8,0.8,7.601623742251455e-05
1.45,0.8,0.9,6.758326959201083e-05
1.45,0.8,1.0,6.53430609693322e-05
1.45,0.8,1.1,6.073321820966438e-05
1.45,0.8,1.2,5.369342528724499e-05
1.45,0.9,0.8,6.217377677751255e-05
